what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1589370308462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370308881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370315753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370317993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370363002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370364001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370391928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370393088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370402274
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1589370405486
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1589370407617
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1589370407631
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1589370407662
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1589370407665
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1589370411551
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1589370413975
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1589370419246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370421774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370431957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370454034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370454135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370454224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589370458370
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1589370458411
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1589370458453
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.debug",1589370458471
