what,kind,bundleId,bundleVersion,description,time
error,log,,,"Target selection failed.",1589304969201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589304969222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589304976854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589304986928
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1589305084268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305140038
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589305140104
error,log,,,"Target selection failed.",1589305147775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305147813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305166158
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589305166185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305172596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305172845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305178422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305216018
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589305216075
error,log,,,"Target selection failed.",1589305223372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305223419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305225251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305239226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305268387
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589305268422
error,log,,,"Target selection failed.",1589305275656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305275706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305285069
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1589305285084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1589305287213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305289236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305420945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305422675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305422906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305427442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305517579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305519175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305644196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305647157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305787875
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1589305794409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305797793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305799999
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589305803223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305808053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305827932
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589305827973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305832616
error,log,,,"Target selection failed.",1589305835971
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1589305836116
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1589305836129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305947665
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589305947691
error,log,,,"Internal error logged from CDI Debug: ",1589305955196
error,log,,,"Target request failed: Error creating process C:\\Users\\YY  WYX\\Desktop\\unix v6++\\oos\\targets\\objs\\kernel.exe, (error 193).",1589305955231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305955314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305963737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305969229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589305992620
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589305992650
error,log,,,"Internal error logged from CDI Debug: ",1589305999869
error,log,,,"Target request failed: Error creating process C:\\Intel\\unix v6++\\oos\\targets\\objs\\kernel.exe, (error 193).",1589305999900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306000082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306008177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306015987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306021470
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589306021500
error,log,,,"Internal error logged from CDI Debug: ",1589306028781
error,log,,,"Target request failed: Error creating process C:\\Intel\\unix v6++\\oos\\targets\\objs\\kernel.exe, (error 193).",1589306028811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306028910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306036063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306040341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306082745
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589306082782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306084436
error,log,,,"Target selection failed.",1589306090803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306097466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306101643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306111970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306118291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306322776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306330571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306358366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306360351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306369767
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589306369816
error,log,,,"Target selection failed.",1589306377945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306378012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306380639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306382277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306398665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306404856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306473852
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589306473891
error,log,,,"Target selection failed.",1589306481751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306481813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306484007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306486346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306531323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306535727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306580839
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589306580865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306584651
error,log,,,"Target selection failed.",1589306588806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306615250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306620459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306631537
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589306631568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306634488
error,log,,,"Target selection failed.",1589306639384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306683743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306686712
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1589306738677
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1589306754648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306768624
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589306768659
error,log,,,"Target selection failed.",1589306775852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306775886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306778587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306791271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306804469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306808766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306819653
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589306819703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306825877
error,log,,,"Internal error logged from CDI Debug: ",1589306827376
error,log,,,"Target request failed: Error creating process C:\\Intel\\unix v6++\\oos\\targets\\objs\\kernel.exe, (error 193).",1589306827411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306829950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306831415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306838578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306841066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306857273
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1589306857304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306860005
error,log,,,"Target selection failed.",1589306864871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306884167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306884936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306892013
error,log,,,"Target selection failed.",1589306901797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306901864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589306905454
