what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589312734923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589312738001
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1589312740873
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1589312741065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312741100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312743083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312744146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312748386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312750618
error,log,,,"Internal Error",1589312752877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312752905
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1589312831108
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1589312834284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312836329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312847671
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1589312850710
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589312854765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312858961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312866642
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1589312866826
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589312870363
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1589312875781
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1589312877438
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1589312879282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312880915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312888894
activated,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1589312889130
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1589312891303
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1589312891580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312894619
error,log,,,"Internal Error",1589312897531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312897562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312898161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312912735
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1589312926712
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1589312929059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312932058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589312939959
