what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589530099969
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589530100040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530100107
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1589530100145
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530104481
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530104528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530205539
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589530210352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530210648
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1589530210681
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530227172
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530227210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530264927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530329256
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589530345383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530357721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530364993
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1589530365014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530369759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530376261
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1589530376281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530376599
error,log,,,"Problems encountered during text search.",1589530377209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530378544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530380105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530380334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530418539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530456801
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530459421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530478621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530519426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530546170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1589530547474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530552185
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1589530552219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530554467
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589530562946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530563048
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1589530563090
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530570156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530589844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589530597102
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589530601875
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530603203
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530603248
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589530604334
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530604562
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589530604606
