what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1589438257827
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1589438257828
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1589438257828
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1589438257828
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1589438257829
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1589438257831
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1589438257831
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1589438257831
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1589438257832
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1589438257832
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1589438257833
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1589438257834
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1589438257835
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1589438257845
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1589438257846
os,sysinfo,,,"win32",1589438257848
arch,sysinfo,,,"x86_64",1589438257848
ws,sysinfo,,,"win32",1589438257848
locale,sysinfo,,,"zh_CN",1589438257848
processors,sysinfo,,,"8",1589438257849
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1589438257849
java.runtime.version,sysinfo,,,"1.8.0_221-b11",1589438257849
java.specification.name,sysinfo,,,"Java Platform API Specification",1589438257849
java.specification.vendor,sysinfo,,,"Oracle Corporation",1589438257849
java.specification.version,sysinfo,,,"1.8",1589438257849
java.vendor,sysinfo,,,"Oracle Corporation",1589438257849
java.version,sysinfo,,,"1.8.0_221",1589438257849
java.vm.info,sysinfo,,,"mixed mode",1589438257849
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1589438257849
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1589438257849
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1589438257849
java.vm.specification.version,sysinfo,,,"1.8",1589438257849
java.vm.vendor,sysinfo,,,"Oracle Corporation",1589438257849
java.vm.version,sysinfo,,,"25.221-b11",1589438257849
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1589438260378
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1589438267671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438268139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438288604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438290684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438392653
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589438397684
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589438406929
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589438406979
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1589438407719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1589438463442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1589438467259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589438468319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438506267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438511745
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589438523338
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589438523371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438526524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438661979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438663527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438665198
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1589438665371
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589438665489
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1589438665977
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1589438666365
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1589438666365
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1589438666366
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1589438666366
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1589438666366
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1589438666371
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1589438666381
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1589438666393
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1589528826009
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1589528826011
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1589528826012
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1589528826013
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1589528826014
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1589528826015
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1589528826016
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1589528826016
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1589528826016
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1589528826018
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1589528826019
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1589528826020
