what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1589317556818
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589317556849
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589317559979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317564551
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1589317594651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317660309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1589317660413
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589317663883
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589317673261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317682535
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589317687031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317687226
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1589317687286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317687786
error,log,,,"Problems encountered during text search.",1589317688268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317690617
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589317715254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317718374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317788600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1589317788639
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589317790905
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589317804906
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589317811146
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589317824221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317827895
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1589317873431
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1589317873445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317894533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1589317894618
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589317896242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317897645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317947260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589317974733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317976243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589317999152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318001738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318002785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589318019408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318025020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318029785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589318063911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318066858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318100882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589318111574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318113208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318170671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1589318174522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1589318174912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1589318175177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318235007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318599765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1589318642970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589318647974
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318650723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1589318653919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1589318801348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1589318803179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1589318815645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1589318817668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589318839846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318841617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318889816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589318898944
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318904891
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318906761
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318908368
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589318910551
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318915984
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318916068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589318921998
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589318930624
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318930839
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318930947
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589318932554
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318932803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318939488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318941468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1589318941500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318948431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318955532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1589318955559
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318968507
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589318971803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318977525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589318996066
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1589318996087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589319003718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589319009086
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1589319009111
