what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534575362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534581035
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1589534582732
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589534587568
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589534590985
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589534591109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534596601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534625857
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589534643945
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589534644188
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589534644274
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589534647991
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589534656219
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589534656326
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589534656394
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589534661592
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589534661644
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589534661644
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1589534665000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534675187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534714654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534716560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534772315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534784120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534838287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534856625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534946459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534947883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534949528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589534951425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589535003235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589535004861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589535264045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589535276011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589535419756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589535428271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589535434641
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.moveResources",1589535434661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.move",1589535434662
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1589535437897
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1589535446112
