what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589378939973
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1589378939994
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.MemoryView",1589378946908
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.RegisterView",1589378946913
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ModuleView",1589378946923
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1589378947054
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589378984663
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589378995409
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589378998134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379005344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379036590
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589379036863
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589379042537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379061388
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589379065853
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589379065935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379065992
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1589379066023
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589379071519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379106274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379115804
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1589379115894
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589379123490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379124706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379186882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379188003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379191185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379192467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379221677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1589379306839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379312128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379314528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379316902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379428275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379446554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379450998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379451772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379453175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379460389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379474515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589379476520
